,train,test
0,66.74666666666667,66.62
1,72.36333333333333,71.88
2,79.23333333333333,78.52
3,80.06666666666666,78.71000000000001
4,86.77833333333334,85.81
5,82.41166666666668,81.85
6,85.88166666666666,84.97
7,87.78666666666666,86.82
8,37.19166666666667,37.57
9,77.70833333333333,76.79
10,89.01166666666667,87.88
11,89.17666666666668,88.11
12,91.04833333333333,89.41
13,90.97,89.25
14,91.72333333333333,90.16
15,91.445,89.77000000000001
16,90.93,89.35
17,92.41,90.41
18,90.56,88.64
19,91.70333333333333,90.02
20,92.26666666666667,90.39
21,92.49166666666667,90.74
22,90.23666666666666,88.27000000000001
23,92.78,90.81
24,93.41166666666668,90.88000000000001
25,93.36833333333333,91.22
26,94.20666666666668,91.39
27,93.31666666666666,91.05
28,93.66499999999999,91.29
29,94.33666666666667,91.25
30,93.02166666666668,90.75
31,94.98666666666666,92.0
32,94.87833333333333,91.85
33,94.29333333333332,91.45
34,94.89666666666666,91.83
35,92.04,89.1
36,93.90833333333333,91.12
37,93.985,91.14
38,95.265,91.46
39,96.28,92.27
40,93.575,91.01
41,95.17833333333333,91.85
42,96.11,92.12
43,96.555,92.24
44,95.745,91.73
45,95.96333333333334,91.43
46,95.38333333333333,91.75
47,91.715,89.45
48,90.915,88.56
49,93.05,90.25
