,train,test
0,84.13000000000001,83.28999999999999
1,87.59833333333333,86.08
2,87.39333333333333,86.1
3,90.42,88.61
4,92.47666666666666,90.08
5,88.235,86.88
6,91.72833333333334,89.52
7,92.50333333333333,90.25999999999999
8,93.17833333333333,90.16
9,92.85333333333334,89.87
10,93.81833333333334,90.42
11,57.58,56.85
12,93.03166666666667,90.7
13,93.66833333333334,90.62
14,94.15166666666667,90.73
15,92.32333333333334,89.56
16,94.15666666666667,91.02
17,95.42166666666667,91.10000000000001
18,95.27,90.74
19,92.25666666666666,89.03
20,94.85,90.33
21,96.50833333333333,91.09
22,97.13333333333334,91.34
23,95.75,91.13
24,97.61999999999999,91.8
25,97.93166666666666,91.55
26,98.55166666666668,91.56
27,96.395,90.13
28,98.14333333333335,91.55
29,97.53500000000001,90.85
30,97.76166666666667,90.5
31,98.28833333333333,91.34
32,99.00333333333333,91.85
33,98.69833333333334,91.34
34,98.375,91.22
35,98.21833333333333,91.07
36,98.83,91.85
37,99.00166666666667,91.78
38,99.17333333333333,91.59
39,98.69833333333334,91.36
40,99.375,91.81
41,98.69166666666666,91.25
42,99.11333333333333,91.46
43,98.84333333333333,91.39
44,99.34166666666667,91.60000000000001
45,98.99833333333333,91.45
46,98.82833333333333,91.25999999999999
47,99.35833333333333,91.64
48,98.78166666666667,91.11
49,99.37833333333333,91.41
