,train,test
0,36.99666666666667,36.309999999999995
1,47.83,47.94
2,50.096666666666664,50.21
3,48.553333333333335,48.84
4,51.74333333333333,52.07000000000001
5,49.595,49.65
6,50.25333333333334,50.67
7,50.43833333333333,50.27
8,51.11,51.13999999999999
9,50.19166666666667,50.22
10,49.04,48.93
11,51.635,51.459999999999994
12,51.026666666666664,50.46000000000001
13,54.59333333333334,54.690000000000005
14,48.54666666666667,47.56
15,55.455,55.379999999999995
16,55.20166666666667,55.120000000000005
17,53.56166666666666,53.269999999999996
18,57.34,57.3
19,54.961666666666666,54.64
20,50.14999999999999,50.07
21,53.44833333333333,53.33
22,52.22666666666667,52.21
23,50.501666666666665,49.64
24,52.32666666666667,52.05
25,54.19166666666667,53.83
26,55.31166666666667,55.230000000000004
27,52.788333333333334,52.239999999999995
28,54.715,54.98
29,56.92333333333334,56.98
30,50.11,49.81
31,54.461666666666666,54.459999999999994
32,55.141666666666666,54.54
33,49.435,49.36
34,57.656666666666666,57.21000000000001
35,58.98833333333333,58.47
36,52.13166666666667,51.88
37,58.199999999999996,58.15
38,58.525000000000006,57.76
39,56.04833333333333,55.669999999999995
40,56.59833333333333,56.25
41,49.38666666666667,49.75
42,52.615,52.32
43,58.40333333333333,58.10999999999999
44,52.04,52.080000000000005
45,55.645,55.26
46,57.98166666666666,57.599999999999994
47,62.69,62.21
48,60.650000000000006,60.3
49,56.845,56.410000000000004
