,train,test
0,87.75666666666667,86.86
1,64.27333333333334,63.6
2,85.42166666666667,84.84
3,84.93666666666667,83.91
4,90.01833333333333,88.71
5,89.995,88.51
6,91.90833333333333,89.92
7,91.59166666666667,90.14999999999999
8,91.06166666666667,89.45
9,87.11666666666666,85.69
10,92.62833333333333,90.49000000000001
11,93.99333333333333,91.60000000000001
12,94.19999999999999,91.32000000000001
13,94.05,90.82000000000001
14,94.49333333333333,91.14999999999999
15,95.66,91.83
16,93.92333333333333,91.0
17,95.32666666666667,92.08
18,95.86833333333334,91.97999999999999
19,96.285,91.72
20,94.26,90.61
21,96.73,91.62
22,93.985,90.73
23,94.47833333333332,90.94
24,94.89166666666667,91.19
25,97.275,92.27
26,96.99166666666666,92.14
27,97.71,92.08
28,96.705,91.36
29,97.04333333333334,92.25999999999999
30,98.33333333333333,92.65
31,98.22833333333332,92.23
32,97.00833333333333,91.33
33,98.59166666666667,92.5
34,96.44833333333334,91.44
35,98.61666666666666,92.44
36,89.76333333333332,86.87
37,97.86166666666666,92.13
38,98.86833333333334,92.58999999999999
39,98.19833333333334,91.69
40,98.53833333333334,92.2
41,98.96833333333333,92.63
42,98.96333333333334,92.38
43,98.67833333333334,92.25
44,97.36,91.38
45,97.97166666666666,91.64999999999999
46,97.96000000000001,91.52
47,96.44166666666666,91.19
48,99.115,92.2
49,98.89333333333333,92.16
