,train,test
0,23.988333333333333,23.57
1,26.8,26.3
2,21.798333333333332,21.59
3,23.496666666666666,23.46
4,23.87,23.810000000000002
5,26.755000000000003,26.810000000000002
6,28.413333333333334,28.08
7,36.538333333333334,35.96
8,31.85,31.509999999999998
9,28.671666666666667,28.17
10,25.785000000000004,25.46
11,31.016666666666666,30.89
12,25.253333333333334,25.16
13,24.761666666666667,24.67
14,25.596666666666668,25.53
15,21.628333333333334,21.42
16,26.25166666666667,26.02
17,32.41833333333333,32.28
18,25.888333333333335,26.090000000000003
19,26.588333333333335,26.26
20,20.368333333333332,20.11
21,18.790000000000003,18.63
22,24.42833333333333,24.41
23,29.798333333333332,29.78
24,23.768333333333334,23.94
25,25.90833333333333,26.009999999999998
26,29.218333333333334,29.17
27,31.221666666666664,31.180000000000003
28,32.968333333333334,33.040000000000006
29,19.365,19.46
30,22.631666666666668,22.759999999999998
31,23.563333333333333,23.64
32,23.06,23.13
33,23.85666666666667,23.87
34,20.663333333333334,20.78
35,21.068333333333335,21.11
36,24.458333333333336,24.91
37,22.333333333333332,22.52
38,30.173333333333336,30.15
39,22.958333333333332,23.22
40,22.598333333333333,22.64
41,23.913333333333334,24.19
42,20.724999999999998,20.78
43,20.626666666666665,20.64
44,23.73,24.060000000000002
45,21.861666666666665,21.990000000000002
46,24.795,24.98
47,20.03,20.21
48,28.843333333333334,28.78
49,20.84,21.029999999999998
