,0
0,91.17
1,91.47
2,91.77
3,92.35
4,92.57
5,91.96
6,93.13
7,92.23
8,92.67
9,92.64
10,92.91
11,91.09
12,92.24
13,92.32
14,93.02
15,92.56
16,92.6
17,91.76
18,92.51
19,92.37
