,train,test
0,78.52833333333334,77.64999999999999
1,84.03666666666668,83.12
2,84.57666666666667,83.06
3,87.91499999999999,86.96000000000001
4,88.01666666666667,86.72
5,88.79333333333334,87.15
6,89.52666666666667,88.29
7,90.14166666666667,88.81
8,90.335,88.83
9,90.69833333333334,88.73
10,90.875,88.96
11,90.50666666666667,88.52
12,91.05499999999999,89.35
13,91.28666666666668,89.03
14,91.365,89.38000000000001
15,91.16,89.11
16,91.63166666666666,89.03
17,91.85333333333332,89.72
18,92.33166666666666,89.7
19,92.02,89.32
20,92.39500000000001,89.59
21,92.81666666666666,90.23
22,91.82166666666667,88.86
23,92.34333333333333,89.8
24,91.48166666666665,88.48
25,92.82333333333334,89.92
26,92.53,89.58
27,92.69,89.7
28,93.07,89.57000000000001
29,93.14166666666667,89.83
30,93.18166666666666,90.09
31,93.32333333333334,89.71000000000001
32,93.23166666666667,89.75
33,92.44833333333334,89.1
34,92.685,89.38000000000001
35,93.08166666666666,89.42999999999999
36,93.12666666666667,89.55
37,93.19833333333334,89.2
38,93.13166666666667,89.41
39,93.695,89.58
40,93.48833333333333,89.49000000000001
41,93.30666666666667,89.13
42,93.20833333333334,89.4
43,93.48333333333333,89.71000000000001
44,93.34833333333333,89.37
45,94.07166666666666,89.9
46,93.98833333333333,89.87
47,94.13166666666667,89.83
48,92.78666666666666,89.03999999999999
49,94.065,89.75
