,train,test
0,52.01833333333333,51.41
1,42.195,41.349999999999994
2,43.580000000000005,43.34
3,43.085,42.44
4,51.85333333333333,51.129999999999995
5,53.031666666666666,52.44
6,47.79666666666667,46.83
7,31.680000000000003,31.19
8,48.885,48.1
9,50.66833333333334,49.64
10,46.99833333333333,46.11
11,49.11666666666667,48.74
12,45.57666666666667,44.85
13,50.10333333333333,49.61
14,54.333333333333336,53.54
15,39.41166666666667,38.84
16,62.31166666666667,61.18
17,51.708333333333336,51.51
18,43.81833333333333,43.36
19,44.69166666666667,43.919999999999995
20,45.24,44.26
21,58.99333333333333,58.15
22,44.565,43.81
23,38.748333333333335,38.16
24,36.14666666666667,35.449999999999996
25,50.648333333333326,50.019999999999996
26,43.68833333333333,43.14
27,51.625,51.81
28,43.52333333333333,43.07
29,44.2,43.24
30,43.26,42.74
31,37.27333333333333,36.11
32,53.50833333333333,52.39
33,46.068333333333335,45.53
34,46.52333333333333,45.86
35,48.998333333333335,48.35
36,45.019999999999996,44.22
37,43.233333333333334,42.3
38,49.24333333333333,48.39
39,48.31666666666667,47.36
40,49.24,48.49
41,48.693333333333335,47.760000000000005
42,53.98833333333334,52.900000000000006
43,52.87833333333334,51.790000000000006
44,40.99833333333333,40.73
45,51.38666666666667,50.980000000000004
46,55.82166666666667,55.230000000000004
47,40.571666666666665,39.96
48,45.77166666666667,45.15
49,37.593333333333334,37.22
