,train,test
0,86.40666666666667,84.95
1,88.77833333333334,86.7
2,90.28833333333334,87.48
3,92.50333333333333,89.27000000000001
4,93.23833333333333,89.49000000000001
5,93.71833333333333,89.96
6,94.345,89.9
7,93.88333333333333,89.05999999999999
8,94.02833333333334,88.49000000000001
9,94.21166666666667,88.64
10,94.965,88.47
11,96.005,89.55
12,95.65333333333334,89.14999999999999
13,95.32666666666667,88.74
14,97.13333333333334,90.11
15,96.62333333333333,89.59
16,97.80333333333333,90.44
17,97.59333333333333,89.8
18,98.18666666666667,90.42
19,97.83833333333334,89.95
20,97.72166666666666,89.8
21,97.80666666666666,89.66
22,98.99833333333333,90.78
23,97.58666666666667,89.57000000000001
24,98.96666666666667,90.22
25,98.66666666666667,90.11
26,97.80666666666666,89.66
27,98.34,89.39
28,98.46666666666667,89.8
29,98.69,90.41
30,99.02666666666666,90.60000000000001
31,99.09333333333333,90.11
32,99.11833333333333,90.63
33,98.405,90.14999999999999
34,99.68666666666667,90.91
35,98.92833333333333,90.03999999999999
36,98.96000000000001,90.28
37,99.22,90.60000000000001
38,99.165,90.02
39,99.30499999999999,90.44
40,99.4,90.93
41,99.16666666666667,90.47
42,99.31833333333333,90.22
43,99.00999999999999,90.12
44,99.26166666666667,90.63
45,99.47,90.2
46,99.355,90.34
47,99.65333333333334,90.97
48,99.37166666666667,90.67
49,99.44166666666666,90.38000000000001
