,0
0,88.65
1,90.78
2,91.24
3,91.49
4,90.88
5,91.74
6,91.49
7,90.82
8,91.44
9,91.4
10,91.51
11,91.53
12,91.54
13,85.08
14,91.72
15,91.88
16,91.8
17,91.57
18,91.53
19,91.36
