,train,test
0,15.988333333333332,15.4
1,28.665000000000003,28.199999999999996
2,40.31,39.01
3,34.53333333333333,34.17
4,50.03833333333333,49.39
5,36.32666666666667,36.07
6,31.803333333333335,31.1
7,33.27166666666667,32.59
8,42.22666666666667,42.0
9,22.383333333333333,21.64
10,36.56666666666666,35.74
11,44.86833333333333,44.12
12,44.84,44.35
13,33.265,33.07
14,47.96,47.56
15,27.22,26.779999999999998
16,26.098333333333336,25.7
17,36.196666666666665,36.11
18,30.464999999999996,29.87
19,20.128333333333334,19.939999999999998
20,44.806666666666665,44.81
21,47.28666666666667,47.33
22,31.59166666666667,31.19
23,35.405,35.010000000000005
24,49.1,49.27
25,33.27333333333333,32.84
26,40.541666666666664,40.23
27,50.013333333333335,49.35
28,28.188333333333333,27.589999999999996
29,33.505,33.58
30,40.150000000000006,40.28
31,44.67,44.39
32,36.67,36.620000000000005
33,38.45666666666666,37.91
34,38.02166666666666,37.81
35,45.934999999999995,45.94
36,38.83333333333333,38.22
37,36.78666666666667,36.309999999999995
38,42.059999999999995,41.23
39,27.018333333333334,26.419999999999998
40,34.85666666666667,34.38
41,39.93666666666667,39.58
42,38.47833333333333,38.0
43,36.475,35.9
44,34.35333333333334,33.52
45,52.35166666666666,51.78
46,37.82,37.169999999999995
47,41.98833333333333,41.65
48,44.07666666666666,43.44
49,37.07333333333334,36.730000000000004
