,train,test
0,90.07,87.79
1,91.83,88.8
2,93.59666666666666,89.72
3,93.88666666666666,89.25
4,94.60833333333333,89.31
5,96.25833333333334,90.33
6,96.81666666666666,90.14
7,98.21,91.38
8,98.71333333333332,91.38
9,98.345,91.52
10,98.67666666666666,91.64
11,98.075,90.2
12,98.67166666666667,90.89
13,98.63333333333333,91.29
14,98.92833333333333,90.96
15,98.745,91.09
16,99.14500000000001,91.36999999999999
17,98.92999999999999,91.13
18,99.03,91.17
19,99.015,91.10000000000001
20,99.28333333333333,91.11
21,98.94500000000001,90.93
22,99.49833333333333,91.67
23,97.11,89.39
24,99.75666666666667,91.75999999999999
25,99.47166666666666,91.64999999999999
26,99.53333333333333,91.59
27,98.93333333333332,90.81
28,99.63499999999999,92.03
29,99.47500000000001,91.52
30,99.24333333333333,91.38
31,99.67,91.7
32,98.96666666666667,91.18
33,99.38833333333334,91.58
34,99.54833333333333,91.74
35,99.46000000000001,91.44
36,99.7,91.64999999999999
37,99.58833333333334,91.52
38,99.21666666666667,91.82000000000001
39,98.24833333333333,90.63
40,99.83999999999999,91.75
41,99.82833333333333,92.17
42,99.69833333333334,91.93
43,99.735,91.7
44,99.85666666666667,92.15
45,99.81,92.13
46,99.89333333333333,92.28
47,99.685,91.67999999999999
48,99.57000000000001,91.67
49,99.55166666666668,91.21000000000001
