,train,test
0,87.87333333333333,85.28999999999999
1,90.62333333333333,87.19
2,91.66,87.33
3,93.695,88.29
4,93.84,87.79
5,95.435,88.23
6,96.02666666666667,88.19
7,96.3,88.39
8,97.18166666666667,88.62
9,97.625,88.01
10,97.70833333333333,88.3
11,97.75500000000001,88.39
12,98.36666666666667,88.42
13,98.24666666666667,88.03999999999999
14,98.85333333333334,88.49000000000001
15,98.93833333333333,88.64
16,98.78833333333333,88.74
17,99.24666666666667,88.72
18,99.00833333333333,88.61
19,98.93666666666667,88.32
20,99.315,89.0
21,99.17333333333333,88.66000000000001
22,99.24333333333333,88.44999999999999
23,98.59833333333333,87.99
24,99.52333333333333,88.91
25,99.27166666666668,88.63
26,99.31333333333333,88.7
27,99.47,88.52
28,99.35666666666667,88.81
29,99.55000000000001,88.61
30,99.315,88.85
31,99.37166666666667,88.67
32,99.49166666666667,88.66000000000001
33,99.52333333333333,89.18
34,99.41333333333333,88.9
35,99.59333333333333,88.91
36,99.54333333333332,88.59
37,99.52333333333333,88.57000000000001
38,99.74,89.05999999999999
39,99.555,89.05999999999999
40,99.54833333333333,88.94
41,99.715,88.73
42,99.53666666666666,88.74
43,99.71333333333334,88.96
44,99.445,88.82
45,99.53833333333333,89.05999999999999
46,99.81833333333333,89.25999999999999
47,99.51833333333333,89.08
48,99.68333333333334,89.14
49,99.66166666666668,89.05
