,train,test
0,85.77166666666668,83.98
1,89.13333333333333,86.96000000000001
2,87.655,86.00999999999999
3,90.86666666666666,88.66000000000001
4,90.64166666666667,87.45
5,45.67333333333333,45.57
6,89.0,87.6
7,90.625,88.64999999999999
8,88.99333333333334,87.37
9,91.405,89.32
10,92.49000000000001,89.87
11,92.42166666666667,89.96
12,93.44833333333334,90.91
13,93.03833333333333,89.71000000000001
14,92.07,89.92
15,92.45666666666666,90.11
16,93.85166666666666,90.97
17,94.02000000000001,90.56
18,94.41833333333334,90.28
19,95.51166666666666,90.97
20,95.65333333333334,90.99000000000001
21,95.15833333333333,90.39
22,96.55333333333334,91.66
23,96.72500000000001,91.25999999999999
24,97.27666666666667,91.06
25,97.16666666666667,91.38
26,97.31,90.82000000000001
27,96.33166666666668,90.18
28,98.01833333333333,91.3
29,97.31833333333333,90.82000000000001
30,97.10499999999999,90.92
31,98.73333333333333,91.41
32,98.54666666666667,91.25
33,97.225,90.66
34,98.54666666666667,91.17
35,98.685,90.75
36,98.96000000000001,91.42
37,98.42666666666666,91.23
38,98.37,91.06
39,98.69166666666666,91.06
40,99.34666666666668,91.18
41,99.34666666666668,91.29
42,99.10166666666666,90.92
43,99.03333333333333,91.21000000000001
44,99.23666666666666,91.29
45,99.12666666666667,91.28
46,98.67,90.84
47,97.49833333333333,90.38000000000001
48,99.50333333333333,91.16
49,99.62666666666667,91.71000000000001
