,0
0,90.16
1,90.96
2,91.3
3,90.53
4,91.43
5,90.69
6,90.78
7,90.83
8,90.91
9,91.52
10,91.53
11,91.28
12,90.65
13,90.82
14,91.23
15,91.41
16,91.37
17,91.35
18,91.46
19,91.49
