,train,test
0,88.61,86.83999999999999
1,89.67666666666668,87.25
2,92.01,89.75
3,92.66666666666666,89.57000000000001
4,93.08333333333333,89.86
5,93.47666666666666,90.14999999999999
6,89.32,87.05000000000001
7,93.78833333333333,90.14
8,94.99,90.42999999999999
9,96.12333333333333,90.94
10,95.01333333333334,90.36999999999999
11,96.49833333333333,90.53999999999999
12,96.99,91.10000000000001
13,97.26833333333333,90.68
14,97.34166666666667,90.52
15,97.31833333333333,90.31
16,97.35666666666667,90.3
17,92.64833333333333,88.59
18,97.30333333333333,90.36999999999999
19,96.15,89.35
20,98.54166666666667,90.71000000000001
21,97.665,90.29
22,97.87,90.07
23,98.405,90.64999999999999
24,98.545,90.62
25,96.89166666666667,89.75
26,98.855,90.55
27,98.87666666666667,90.94
28,96.065,88.61
29,98.68833333333333,90.64999999999999
30,98.605,90.67
31,99.02666666666666,90.89
32,98.6,90.51
33,98.68666666666667,90.72
34,99.12166666666667,91.07
35,99.56333333333333,91.39
36,99.21,91.10000000000001
37,99.22999999999999,91.09
38,99.32166666666666,90.97
39,98.90166666666667,90.75
40,97.80499999999999,90.21000000000001
41,98.93833333333333,90.27
42,99.30833333333334,90.82000000000001
43,98.77166666666668,90.68
44,91.46833333333333,88.64
45,96.74666666666667,91.10000000000001
46,98.72999999999999,91.06
47,99.29,91.31
48,98.68,90.9
49,99.44833333333334,91.14
