,train,test
0,35.891666666666666,35.410000000000004
1,33.82833333333333,33.43
2,30.385,29.82
3,37.614999999999995,37.35
4,35.19,35.05
5,43.325,43.1
6,30.338333333333335,29.45
7,31.998333333333335,32.21
8,29.535,29.080000000000002
9,34.641666666666666,34.43
10,33.26,32.7
11,38.85333333333333,38.46
12,31.788333333333334,31.25
13,33.17166666666667,32.29
14,26.905,26.26
15,34.24166666666667,34.14
16,33.62833333333333,33.67
17,31.616666666666664,31.569999999999997
18,39.78,39.62
19,38.85666666666667,38.07
20,42.333333333333336,42.16
21,31.105,31.019999999999996
22,35.41166666666667,34.93
23,31.551666666666666,30.72
24,33.03333333333333,31.86
25,32.95666666666667,32.31
26,31.761666666666667,30.709999999999997
27,43.230000000000004,43.11
28,37.63666666666667,37.6
29,41.455,41.24
30,44.108333333333334,44.0
31,40.80666666666667,40.29
32,39.248333333333335,38.68
33,40.223333333333336,40.6
34,35.449999999999996,35.160000000000004
35,34.471666666666664,34.050000000000004
36,43.08833333333333,43.24
37,32.28333333333334,31.36
38,31.611666666666665,31.209999999999997
39,39.07666666666667,38.4
40,31.048333333333332,30.520000000000003
41,40.69,40.48
42,34.36333333333334,34.339999999999996
43,40.38166666666667,39.92
44,36.42666666666667,36.27
45,36.375,36.16
46,37.875,37.51
47,28.401666666666664,28.37
48,40.50166666666667,40.56
49,37.858333333333334,37.39
