,train,test
0,87.37166666666667,85.17
1,90.03833333333333,86.82
2,92.50666666666667,88.16000000000001
3,92.965,87.78
4,94.80166666666666,88.97
5,95.25333333333333,88.59
6,96.51666666666667,88.92999999999999
7,96.255,88.39
8,96.60333333333332,88.13
9,97.48166666666667,88.41
10,97.41499999999999,88.61
11,98.38333333333334,88.85
12,98.67333333333333,89.01
13,98.475,89.05999999999999
14,98.27166666666668,88.58
15,98.38666666666667,88.81
16,98.50833333333333,88.89
17,99.00999999999999,89.11
18,99.27,89.52
19,99.38166666666667,89.7
20,98.98666666666666,89.22
21,98.75,88.84
22,99.46333333333334,89.63
23,98.79666666666667,89.13
24,99.48333333333333,89.49000000000001
25,99.575,89.28
26,99.42333333333333,89.23
27,99.36666666666667,89.03
28,99.47333333333333,89.44
29,99.16666666666667,89.19
30,98.98833333333333,88.82
31,99.48833333333333,89.51
32,99.68166666666667,89.84
33,99.64666666666666,89.49000000000001
34,99.42166666666667,89.24
35,99.63333333333333,89.42999999999999
36,99.605,89.25
37,99.44333333333333,89.29
38,99.47,89.38000000000001
39,99.62166666666667,90.03
40,99.45,89.28
41,99.61,89.71000000000001
42,99.79833333333333,89.74
43,99.53666666666666,89.7
44,99.68,90.11
45,99.195,89.29
46,99.7,90.10000000000001
47,99.75666666666667,89.89
48,99.11666666666666,89.57000000000001
49,99.725,89.69
