,train,test
0,29.42666666666667,29.39
1,17.57,17.16
2,44.166666666666664,43.76
3,47.64333333333333,47.23
4,43.156666666666666,42.52
5,37.28666666666667,37.05
6,41.391666666666666,41.089999999999996
7,40.465,39.87
8,53.46666666666666,52.66
9,38.416666666666664,37.69
10,39.531666666666666,39.24
11,41.973333333333336,41.17
12,48.20166666666667,47.47
13,45.11833333333333,44.55
14,41.50833333333333,40.45
15,32.27166666666667,32.23
16,45.14333333333334,44.91
17,44.01,43.21
18,35.17,34.300000000000004
19,47.053333333333335,45.629999999999995
20,36.998333333333335,36.6
21,44.07,43.5
22,44.375,43.74
23,42.63,42.35
24,38.20666666666666,37.44
25,35.108333333333334,34.339999999999996
26,46.575,45.519999999999996
27,32.663333333333334,32.019999999999996
28,51.38,50.370000000000005
29,40.75833333333333,39.910000000000004
30,46.263333333333335,45.36
31,34.99333333333333,34.300000000000004
32,44.13166666666667,43.309999999999995
33,46.14833333333333,45.879999999999995
34,38.71333333333333,38.129999999999995
35,46.471666666666664,45.37
36,35.620000000000005,34.870000000000005
37,46.0,44.32
38,41.525,40.71
39,37.86833333333333,36.88
40,45.10666666666667,44.32
41,58.8,57.75
42,43.66166666666666,42.76
43,49.925000000000004,48.870000000000005
44,32.0,31.1
45,40.123333333333335,39.550000000000004
46,40.108333333333334,39.03
47,37.12833333333334,36.4
48,44.58166666666667,43.29
49,52.27,51.43
