,train,test
0,85.68666666666667,84.75
1,90.08833333333334,88.53999999999999
2,90.045,88.14999999999999
3,90.49000000000001,88.66000000000001
4,92.2,90.24
5,92.31833333333334,90.08
6,93.67,90.77
7,93.92166666666667,91.09
8,93.86833333333333,89.9
9,94.06833333333333,90.34
10,95.79833333333333,91.24
11,96.34166666666667,91.38
12,96.68666666666667,91.56
13,96.51833333333333,91.03999999999999
14,95.32000000000001,90.19
15,97.50833333333333,91.06
16,97.55666666666667,90.72
17,97.87666666666667,90.7
18,98.63166666666666,91.45
19,98.59833333333333,91.03999999999999
20,98.86666666666667,91.32000000000001
21,98.30333333333333,90.69
22,99.125,91.53
23,99.32666666666667,91.5
24,99.23166666666667,91.63
25,99.26666666666667,91.58
26,99.01666666666667,90.9
27,98.91166666666666,90.69
28,99.22333333333333,91.28
29,99.28166666666667,91.01
30,99.32166666666666,91.36
31,99.35333333333334,91.38
32,99.42999999999999,91.10000000000001
33,99.45833333333334,91.11
34,99.65833333333333,91.47999999999999
35,99.35333333333334,91.25
36,99.53999999999999,91.07
37,99.45666666666668,91.08000000000001
38,99.63,91.32000000000001
39,99.625,91.09
40,99.77666666666667,91.32000000000001
41,99.66000000000001,91.46
42,99.71166666666666,91.33
43,99.42666666666666,91.23
44,99.77833333333334,91.14999999999999
45,99.46833333333333,91.17
46,99.52333333333333,91.02
47,99.40666666666667,90.96
48,99.78166666666667,91.36999999999999
49,99.66000000000001,91.17
