,train,test
0,74.285,73.52
1,77.33,77.01
2,79.39,78.74
3,81.10833333333333,80.17999999999999
4,82.62166666666667,81.67
5,83.46000000000001,82.62
6,84.83166666666668,84.15
7,85.47666666666667,84.61
8,85.86333333333333,84.74000000000001
9,86.52833333333334,85.59
10,86.825,85.89
11,86.72166666666666,85.92
12,87.315,86.39
13,87.59666666666666,86.53999999999999
14,87.77666666666667,86.41
15,88.185,86.83
16,88.24,86.83
17,88.21833333333333,87.02
18,88.55499999999999,87.22
19,88.82833333333333,87.31
20,88.25833333333334,86.77
21,88.645,87.19
22,89.23166666666667,87.51
23,89.29333333333334,87.64999999999999
24,89.41333333333333,87.63
25,89.63833333333334,87.71
26,89.07166666666667,87.57000000000001
27,89.49666666666667,87.79
28,89.62833333333333,88.12
29,89.93166666666667,88.03999999999999
30,89.73666666666666,88.13
31,89.90166666666667,88.0
32,90.03833333333333,88.24
33,90.185,88.36
34,89.79166666666667,87.57000000000001
35,89.72833333333334,87.81
36,89.98333333333333,88.14
37,90.56333333333333,88.48
38,90.215,88.25
39,90.81333333333333,88.7
40,90.48833333333334,88.52
41,90.43833333333333,88.49000000000001
42,90.85,88.81
43,90.57833333333333,88.61
44,90.76833333333333,88.56
45,91.01333333333334,88.86
46,90.93,88.64999999999999
47,91.04166666666667,88.97
48,91.09833333333334,88.74
49,91.22166666666666,89.08
