,train,test
0,61.70166666666667,61.71
1,50.53833333333333,49.7
2,55.723333333333336,55.13
3,54.33,53.900000000000006
4,44.91,44.629999999999995
5,39.67,38.92
6,55.11333333333334,54.400000000000006
7,54.67666666666666,54.14
8,63.39833333333333,62.88
9,53.269999999999996,52.910000000000004
10,55.01833333333334,54.790000000000006
11,61.529999999999994,60.940000000000005
12,48.80166666666666,48.449999999999996
13,55.85333333333333,55.300000000000004
14,51.01,50.5
15,45.10166666666667,44.58
16,48.63166666666667,48.370000000000005
17,53.55833333333333,53.42
18,55.510000000000005,55.08
19,52.57166666666667,52.0
20,57.985,57.489999999999995
21,62.59,61.77
22,49.95166666666667,48.99
23,62.88166666666667,62.27
24,61.16166666666667,60.57
25,54.666666666666664,54.26
26,64.22833333333332,63.5
27,59.51833333333333,58.8
28,64.21333333333334,63.65
29,62.743333333333325,62.260000000000005
30,63.82,63.38
31,61.73,60.84
32,63.976666666666674,63.54
33,59.263333333333335,58.43000000000001
34,59.97833333333333,59.040000000000006
35,59.285,58.42
36,68.50833333333334,67.60000000000001
37,60.416666666666664,59.62
38,56.56666666666666,55.85
39,63.81666666666666,62.86000000000001
40,68.83666666666667,68.27
41,66.41166666666666,65.71000000000001
42,63.46833333333334,62.529999999999994
43,65.46333333333332,64.87
44,66.325,65.79
45,60.093333333333334,59.03
46,58.51166666666666,57.67
47,63.824999999999996,62.83
48,62.83833333333333,61.9
49,62.16833333333334,60.809999999999995
