,0
0,88.95
1,89.49
2,90.57
3,91.01
4,91.42
5,91.1
6,90.86
7,91.25
8,91.38
9,90.55
10,90.98
11,90.51
12,91.63
13,91.56
14,91.58
15,91.38
16,91.43
17,91.27
18,91.72
19,91.28
