,train,test
0,86.53666666666666,85.06
1,88.36166666666668,86.72999999999999
2,91.525,89.3
3,91.96,89.68
4,90.11166666666666,87.22999999999999
5,90.01333333333334,87.35000000000001
6,91.96833333333333,88.77000000000001
7,93.53833333333334,89.92999999999999
8,94.99166666666666,90.7
9,93.39333333333333,89.19
10,95.78666666666666,90.62
11,94.82333333333334,90.32
12,96.27666666666667,90.61
13,97.625,91.28
14,97.44666666666667,90.67
15,97.77,90.92
16,96.61833333333333,90.41
17,98.045,91.12
18,98.18666666666667,90.86999999999999
19,98.54,90.85
20,98.39333333333333,91.53999999999999
21,98.90666666666667,91.02
22,98.94500000000001,90.86999999999999
23,98.19833333333334,90.67
24,98.72333333333333,91.08000000000001
25,99.28833333333333,91.24
26,99.41333333333333,91.47999999999999
27,99.34333333333333,91.06
28,98.71166666666666,90.85
29,98.63166666666666,90.64
30,99.26666666666667,91.25999999999999
31,99.61833333333333,91.53
32,99.31666666666666,91.24
33,99.59166666666667,91.17
34,99.18333333333334,90.94
35,99.725,91.67
36,99.675,91.41
37,98.26,90.24
38,99.22999999999999,91.14
39,99.84666666666666,91.41
40,99.01666666666667,90.63
41,99.62666666666667,91.31
42,99.675,91.0
43,99.695,91.47999999999999
44,99.295,91.10000000000001
45,99.44333333333333,90.97
46,99.47500000000001,90.97
47,99.11166666666666,90.73
48,99.17,90.77
49,99.66833333333334,91.17
