,train,test
0,51.72833333333333,50.6
1,64.29666666666667,63.75999999999999
2,65.92666666666666,65.91
3,63.91,64.1
4,62.04833333333334,61.89
5,67.14333333333333,66.86
6,72.21166666666666,71.99
7,68.17833333333333,68.22
8,73.30833333333334,73.31
9,69.27333333333333,69.35
10,72.35666666666667,72.15
11,71.32666666666667,71.14
12,71.02000000000001,70.94
13,68.40833333333333,68.4
14,64.52333333333333,64.47
15,73.94333333333334,73.45
16,71.36833333333334,70.69
17,73.33166666666666,72.71
18,67.17166666666667,66.81
19,72.075,71.61
20,68.91666666666667,68.61
21,73.885,73.56
22,71.90833333333333,71.34
23,73.12833333333333,72.68
24,67.60166666666667,67.16
25,72.75500000000001,72.3
26,70.17833333333333,69.99
27,69.53333333333333,69.19999999999999
28,73.31666666666666,72.89
29,71.76666666666667,71.61
30,71.22333333333334,70.50999999999999
31,73.14833333333334,72.99
32,73.19833333333334,73.08
33,71.41833333333332,71.00999999999999
34,70.055,69.78999999999999
35,71.025,70.8
36,69.17833333333333,68.89
37,71.71833333333333,71.34
38,74.53,73.81
39,71.25833333333334,71.02000000000001
40,73.94333333333334,73.45
41,71.47666666666666,70.98
42,75.1,74.65
43,73.46000000000001,73.13
44,72.22666666666666,71.52
45,74.77166666666668,74.38
46,71.62833333333334,70.95
47,71.39833333333333,70.73
48,70.28833333333333,69.76
49,71.52333333333334,70.78999999999999
