,train,test
0,87.82,86.7
1,89.98166666666667,88.48
2,90.135,88.53999999999999
3,92.58833333333332,90.55
4,92.61,89.99000000000001
5,93.83166666666666,90.83
6,93.875,90.69
7,94.97333333333333,91.03
8,95.33,91.17
9,95.38333333333333,91.14
10,96.69166666666666,91.39
11,95.49333333333333,90.83
12,97.18333333333334,91.41
13,97.69333333333333,91.3
14,97.935,91.60000000000001
15,97.55166666666668,91.2
16,98.17333333333333,91.09
17,98.17833333333333,91.13
18,99.17666666666666,91.4
19,98.99166666666666,91.59
20,98.88333333333334,91.39
21,98.46166666666667,91.05
22,98.18333333333334,90.25
23,99.24833333333333,91.7
24,98.83666666666666,90.79
25,99.56333333333333,91.53
26,98.875,90.98
27,99.38666666666667,91.18
28,99.40833333333333,91.34
29,99.46000000000001,91.53999999999999
30,99.27,91.43
31,99.395,91.51
32,99.23333333333333,91.01
33,99.47333333333333,91.47999999999999
34,99.59333333333333,91.36999999999999
35,99.59833333333333,91.16
36,99.60666666666667,91.53999999999999
37,99.74333333333333,92.10000000000001
38,99.48833333333333,91.84
39,99.52166666666666,91.36
40,99.47166666666666,91.33
41,99.52499999999999,91.59
42,99.705,91.86
43,98.76166666666667,90.96
44,99.49833333333333,91.25999999999999
45,99.57000000000001,91.12
46,99.61,91.14
47,99.395,91.16
48,99.59166666666667,91.39
49,99.48833333333333,91.49000000000001
