,train,test
0,88.77333333333334,86.56
1,91.06333333333333,88.13
2,92.22,88.32
3,93.15833333333333,88.14999999999999
4,95.37333333333333,89.5
5,95.96666666666667,89.33
6,97.21499999999999,89.92999999999999
7,97.63666666666667,89.87
8,97.98,89.67
9,98.41166666666666,89.98
10,98.785,89.73
11,98.86,90.05
12,98.97833333333334,90.2
13,99.315,89.98
14,99.28833333333333,90.13
15,99.405,90.35
16,99.52499999999999,90.51
17,98.88166666666666,89.4
18,99.51833333333333,90.53
19,99.27333333333334,89.97
20,99.36,90.24
21,99.42999999999999,90.09
22,99.565,89.75
23,99.68833333333333,90.19
24,99.39333333333333,89.68
25,99.56166666666667,90.14
26,99.46833333333333,90.14
27,99.54333333333332,90.53999999999999
28,99.47,89.99000000000001
29,99.80833333333334,90.31
30,99.50166666666667,89.86
31,99.665,90.21000000000001
32,99.795,90.14999999999999
33,99.62,90.08
34,99.52,89.96
35,99.80833333333334,90.49000000000001
36,99.77000000000001,90.4
37,99.72,90.16999999999999
38,99.66000000000001,90.29
39,99.645,90.22
40,99.83333333333333,90.59
41,99.63166666666666,90.5
42,99.825,90.19
43,99.67,90.12
44,99.73833333333333,90.35
45,99.51166666666667,89.77000000000001
46,99.795,90.4
47,99.76833333333333,90.42999999999999
48,99.78166666666667,90.22
49,99.82833333333333,90.49000000000001
