,train,test
0,25.808333333333334,25.05
1,32.495000000000005,31.97
2,36.25333333333333,35.93
3,34.89333333333333,34.32
4,32.83833333333334,32.36
5,37.415,37.26
6,36.32833333333333,35.92
7,41.89666666666667,40.839999999999996
8,31.101666666666667,30.64
9,34.73,33.62
10,46.11833333333333,45.85
11,44.57833333333333,44.22
12,42.928333333333335,42.65
13,41.538333333333334,41.31
14,47.93333333333333,46.79
15,42.435,41.91
16,48.51,47.760000000000005
17,50.43833333333333,48.83
18,53.06166666666666,52.449999999999996
19,48.95333333333333,48.120000000000005
20,55.464999999999996,55.22
21,54.36,54.15
22,47.05666666666667,46.78
23,56.67666666666666,56.169999999999995
24,55.184999999999995,54.02
25,58.458333333333336,57.34
26,47.443333333333335,47.010000000000005
27,53.17166666666666,52.629999999999995
28,55.06999999999999,54.300000000000004
29,49.151666666666664,48.61
30,48.16666666666667,48.15
31,58.87833333333333,58.14
32,41.38666666666666,40.62
33,51.336666666666666,50.760000000000005
34,54.00833333333333,52.959999999999994
35,45.92,44.91
36,44.47,43.519999999999996
37,53.26,52.53
38,48.56666666666667,47.94
39,56.30333333333334,55.37
40,56.04666666666667,55.32
41,54.775,54.31
42,49.406666666666666,48.72
43,53.03333333333333,52.23
44,48.144999999999996,47.089999999999996
45,47.115,46.23
46,48.73166666666667,47.54
47,44.105,43.18
48,47.12833333333333,46.35
49,48.428333333333335,47.44
