,train,test
0,85.17666666666666,83.49
1,88.75666666666666,86.64
2,90.22333333333333,88.36
3,91.35666666666667,89.18
4,93.16166666666666,90.09
5,93.415,90.34
6,94.38,90.31
7,94.26166666666667,89.97
8,95.39333333333333,90.03999999999999
9,95.655,90.79
10,96.54666666666667,91.06
11,97.195,90.52
12,97.87833333333333,91.13
13,97.49333333333333,90.92
14,96.67833333333333,89.97
15,94.58166666666666,90.46
16,97.80833333333334,91.67
17,98.49166666666666,91.19
18,98.63833333333332,91.21000000000001
19,98.565,90.93
20,98.63166666666666,91.07
21,97.53,89.98
22,98.9,91.41
23,98.795,90.75999999999999
24,99.01166666666667,91.11
25,98.85333333333334,90.94
26,99.5,91.19
27,98.89333333333333,91.32000000000001
28,99.33833333333332,91.31
29,99.22666666666666,91.25
30,98.63499999999999,90.79
31,99.22333333333333,90.91
32,97.29333333333334,89.74
33,99.385,91.09
34,99.02499999999999,90.86
35,99.53833333333333,90.78
36,99.515,91.46
37,99.31666666666666,90.97
38,99.58333333333333,91.2
39,99.24333333333333,90.77
40,99.565,91.17
41,99.72166666666666,91.39
42,96.15333333333334,90.64999999999999
43,99.06,91.0
44,99.59,91.22
45,99.75833333333334,91.47
46,99.80833333333334,91.41
47,99.29333333333334,90.97
48,99.74333333333333,91.25999999999999
49,99.61666666666666,91.36999999999999
