,train,test
0,88.04833333333333,84.71
1,90.49333333333334,86.19
2,91.21333333333334,86.82
3,93.20333333333333,88.53999999999999
4,93.73,88.64999999999999
5,93.79833333333333,88.42
6,85.02666666666666,83.53
7,91.44333333333333,88.77000000000001
8,91.865,88.51
9,94.39999999999999,89.74
10,93.71666666666667,89.05999999999999
11,95.35,89.75999999999999
12,95.82000000000001,90.16
13,95.86166666666666,89.94
14,96.14333333333333,89.55
15,95.78666666666666,89.73
16,96.45166666666667,89.32
17,95.24166666666667,88.16000000000001
18,96.64500000000001,89.75999999999999
19,96.45333333333333,89.29
20,96.15333333333334,89.28
21,96.98333333333333,89.96
22,97.015,89.64999999999999
23,97.06833333333333,89.55
24,97.75166666666667,90.03999999999999
25,97.74666666666667,89.91
26,98.31833333333333,90.2
27,97.86333333333333,90.49000000000001
28,98.09166666666667,90.16
29,98.33833333333334,90.19
30,98.06,90.11
31,98.27166666666668,90.36
32,97.345,89.59
33,97.71166666666666,89.66
34,98.42666666666666,89.9
35,98.44333333333334,89.67
36,98.41166666666666,90.03
37,98.67833333333334,90.18
38,98.43499999999999,90.03
39,98.705,89.87
40,98.505,90.2
41,98.35666666666667,89.88000000000001
42,98.98833333333333,90.21000000000001
43,98.51333333333334,90.31
44,98.88166666666666,90.51
45,99.12666666666667,90.49000000000001
46,98.96333333333334,90.39
47,99.04833333333333,90.10000000000001
48,99.00833333333333,90.25
49,98.665,90.18
